id,English,Russian,French,German,Spanish,Italian,Portuguese,ChineseSimplified,Turkish,Japanese,Korean,Arabic
newTutorial_8,You are really good at it! Here is another gift for you. Get it here!,"Ты, действительно, хорошо справляешься! Вот тебе еще один подарок от меня!",Vous êtes vraiment bon dans ce domaine! Voici un autre cadeau pour vous. Obtenez-le ici!,Sie sind es wirklich gut! Hier ist ein weiteres Geschenk für Sie. Erhalten Sie es hier!,Usted es realmente bueno en eso! Aquí es otro regalo para ti. ¡Consiguelo aqui!,Sei davvero bravo! Ecco un altro regalo per voi. Prendilo qui!,Você é realmente bom no que faz! Aqui está um outro presente para você. Venha aqui!,你是在它真的很好！这里是另一个礼物送给你。在这里得到它！,Bunda gerçekten çok iyi! İşte size başka hediyedir. buradan alın!,あなたはそれで本当に良いです！ここではあなたのためのもう一つの贈り物です。ここでそれを入手！,당신은 정말 좋다! 여기에 또 다른 선물이다. 여기를 잡아!,كنت جيدة حقا في ذلك! هنا هو هدية أخرى بالنسبة لك. أحضره هنا!
decorationsShowMessage,<color=#0080B0FF>Decoration</color> items are available! Visit the Shop to check it out!,Стал доступен <color=#0080B0FF>Декор</color>! Открой магазин чтобы посмотреть украшения!,Les objets de <color=#0080B0FF>Décoration</color> sont disponibles ! Visitez la boutique pour les découvrir !,"Es sind <color=#0080B0FF>Dekoreationsgegenstände</color> erhältlich! Besuche den Shop, um sie dir anzusehen!",¡Ya están disponibles los <color=#0080B0FF>adornos</color>! ¡Visita la tienda para verlos!,Sono disponibili oggetti da <color=#0080B0FF>Decorazione</color>! Visita il Negozio per scoprire di cosa di tratta!,Itens de <color=#0080B0FF>Decoração</color> estão disponíveis! Visite a loja para conferir!,<color=#0080B0FF>装饰</color>物品可用！访问商店查看它们！,Uygun<color=#0080B0FF>Dekorasyon</color> eşyaları var!Kontrol etmek için Dükkanı ziyaret et!,<color=#0080B0FF>装飾</color>用のアイテムが利用できます。ショップに行って欲しいものを見つけよう！,<color=#0080B0FF>장식</color> 아이템을 구입할 수 있습니다! 상점을 방문해서 확인하세요!,<color=#0080B0FF>الديكور</color> أصبح متوفراً! قم بزيارة المتجر لرؤيته.
dailyActivitiesShowMessage,<color=#0080B0FF>Daily Activities</color> are available. Complete quests and get valuable rewards!,<color=#0080B0FF>Ежедневные Задания</color> стали доступными. Выполняй квесты и получай ценные награды!,Les <color=#0080B0FF>Activités du jour</color> sont disponibles. Terminez des quêtes et obtenez des récompenses importantes !,<color=#0080B0FF>Tägliche Aktivitäten</color> sind verfügbar. Schließe Quests ab und erhalte wertvolle Belohnungen!,Están disponibles las <color=#0080B0FF>actividades diarias</color>. ¡Completa misiones para conseguir valiosas recompensas!,Sono disponibili <color=#0080B0FF>Attività giornaliere</color>. Completa le missioni e ottieni ricompense di valore!,<color=#0080B0FF>Atividades diárias</color> estão disponíveis. Conclua missões e obtenha recompensas valiosas!,<color=#0080B0FF>日常活动</color>可用。完成任务并获得宝贵的奖励！,Uygun<color=#0080B0FF>Günlük Aktiviteler</color> var. Görevleri tamamla ve kıymetli hediyeler kazan!,<color=#0080B0FF>毎日のアクティビティ</color>を利用できます。クエストを完了し、貴重な報酬を獲得！,<color=#0080B0FF>일일 활동</color>을 시작할 수 있습니다. 퀘스트를 완료하고 귀중한 보상을 받으세요!,<color=#0080B0FF>النشاطات اليومية</color> متوفرة. أكمل المهمات واحصل على جوائز قيمة!
linaHintLookAtDaily,Here is a new objective. Tap to reveal,"Вот новое задание! Нажми на него, чтоб открыть",Voici un nouvel objectif. Appuyez sur pour révéler,Hier ist ein neues Ziel. Tippen Sie offenbaren,Aquí está un nuevo objetivo. Toque para revelar,Ecco un nuovo obiettivo. Tocca a rivelare,Aqui está um novo objetivo. Toque para revelar,这是一个新的目标。点击透露,İşte yeni hedefidir. ortaya çıkarmak için hafifçe vurun,ここでは、新たな目的です。明らかにタップ,여기에 새로운 목표입니다. 공개 눌러,هنا هو هدف جديد. انقر لتكشف
linaTutTapToHint,You can tap on the Objective to get a hint,"Если нажать на само задание, то получишь подсказку о его выполнении",Vous pouvez appuyer sur l'objectif d'obtenir un indice,Sie können auf das Ziel tippen Sie auf einen Hinweis zu bekommen,Puede tocar en el objetivo de obtener una pista,È possibile toccare l'obiettivo di ottenere un suggerimento,Você pode tocar no objectivo de obter uma dica,您可以点击客观上得到提示,Bir ipucu elde etmek Amaç dokunabilirsiniz,あなたはヒントを得るために、客観的にタップすることができます,당신은 힌트를 얻을 수있는 목적에 활용할 수,يمكنك الاستفادة على الهدف للحصول على تلميح
moreExercisesShowMessageHeader,More exercises,Больше упражнений,Plus d'exercices,Mehr Übungen,Más ejercicios,Più esercizi,Mais exercícios,更多练习,Daha fazla egzersiz,その他のエクササイズ,더 많은 운동,المزيد من التدريب
moreExercisesShowMessageText,This workout plan has more than one exercise. You can complete them in any order.,"В плане занятий этого посетителя больше одного упражнения, Ты можете выполнять их в любом удобном порядке.",Ce programme d'entraînement propose plus d'un exercice. Vous pouvez les réaliser dans n'importe quel ordre.,Dieser Übungsplan besteht aus mehr als einer Übung. Du kannst sie in jeder Reihenfolge durchführen.,Este programa de entrenamiento tiene más de un ejercicio. Puedes completarlos en cualquier orden.,Questo piano di allenamento prevede più esercizi. Puoi completarli in qualsiasi ordine.,Este plano de treino possui mais de um exercício. Você pode completá-los em qualquer ordem.,这个锻炼计划包含不止一个练习。你可以按任何顺序完成它们。,Bu çalışma planında birden fazla egzersiz var. Bunları istediğin sırayla tamamlayabilirsin.,このトレーニングプランには、複数のエクササイズがあります。どんな順番でも完了することができます。,이 운동 계획에는 한 개 이상의 운동이 들어있습니다. 순서에 상관없이 완료할 수 있습니다.,تحتوي خطة العمل هذا أكثر من تدريب واحد، يمكنك إكمالها بأي ترتيب تريد.
sportClubAvailableHeader,Awesome Job,Отлично Сработано,Travail fantastique,Klasse!,Excelente trabajo,Ottimo lavoro,Excelente trabalho,超棒的工作,Harika İş Çıkardın,よくできました,대단해요,عمل رائع.
sportClubAvailableText,You can unlock Sport Club and start Train Professionals now,Теперь Ты можешь открыть <color=#0080B0FF>Спортивный Зал</color>\nи тренировать Профессионалов!,Vous pouvez débloquer le Club de sport et commencer à entraîner les Professionnels,Du kannst jetzt den Sportklub freischalten und Profis trainieren,Ahora puedes desbloquear el club deportivo y empezar a entrenar a profesionales,sbloccare il Club sportivo e iniziare l'allenamento dei Professionisti ora,Você pode desbloquear o Clube esportivo e começar a treinar profissionais agora,你可以解锁体育俱乐部，并开始训练专业选手,Artık Spor Kulübünü açabilir ve Profesyonelleri Yetiştirebilirsin,スポーツクラブをアンロックして、プロの訓練を始めることができます。,이제 스포츠 클럽을 잠금해제해서 프로 선수들을 훈련시킬 수 있습니다.,يمكنك الآن فتح النادي الرياضي وتدريب المحترفين.
sportClubOpenedHeader,Grand Opening!,Большое Открытие!,Inauguration !,Große Neueröffnung!,¡Inauguración!,Inaugurazione!,Grande abertura!,盛大开幕！,Büyük Açılış!,グランドオープニング！,개업!,الافتتاح الكبير!
sportClubOpenedMessage,Now it's getting serious! Be ready to compete and become the winner!,Дела приняли серьезный оборот! Готовься побеждать!,Les choses sérieuses commencent ! Soyez prêt à rivaliser et devenir le meilleur !,Jetzt wird‘s ernst! Sei bereit anzutreten und zu siegen!,¡Ahora empieza lo más interesante! ¡Prepárate para competir y hacerte con la victoria!,Il gioco si fa duro! Tieniti pronto per la competizione e per diventare un campione!,Agora a coisa está ficando séria! Prepare-se para competir e tornar-se o vencedor!,现在是认真的时候了！为了竞技做好准备，成为赢家！,İş şimdi ciddiye biniyor! Yarışmaya ve kazanan olmaya hazırlan!,絶好調だね！勝者の勝者になるために、トレーニングをしよう！,이제 본격적인 시작입니다! 트레이닝을 시작하고 승자가 되어보세요!,الأمر يصبح جدياً! جهز نفسك للمنافسة ولتصبح الفائز!
sportClubTutorialShowBoard,This is the Sport Events Board! Tap the Board to see current events,"Это доска <color=#0080B0FF>Спортивных Событий</color>! Нажми на нее, чтобы посмотреть ближайшие мероприятия.",Voici le Tableau des Événements sportifs ! Touchez le tableau pour consulter les événements en cours,"Dies ist das Ankündigungsbrett für Sportevents! Tippe das Brett an, um aktuelle Events zu sehen",¡Este es el tablón de eventos deportivos! Toca el tablón para ver los eventos actuales,Questo è il Tabellone degli Eventi sportivi. Tocca il Tabellone per visualizzare gli eventi in corso,Este é o Quadro de Eventos Esportivos! Toque no quadro para ver os eventos atuais,这是体育赛事看板！点击看板来查看当前事件,Burası Spor Etkinlikleri Panosu! Panoya dokunarak güncel etkillikeri gör,これは、スポーツイベントボードです!ボードをタップして現在のイベントを表示する,이곳은 스포츠 이벤트 게시판입니다! 게시판을 탭해서 현재 이벤트를 확인하세요.,هذا لوح الفعاليات الرياضية! اضغط عليه لرؤية الفعاليات الحالية.
sportClubTutorialWaitForClose,This is your quest board! Train requested professionals to complete the task!,Тренируй необходимых профессионалов чтобы выполнять задания.,Voici votre tableau de quête ! Entraînez les professionnels demandés pour terminer cette tâche !,"Dies ist dein Questbrett! Trainiere die erforderlichen Profis, um die Aufgabe abzuschließen!",¡Este es el tablón de misiones! ¡Entrena a los profesionales necesarios para completar la tarea!,Questo è il Tabellone delle Missioni! Allena i professionisti necessari per completare l'incarico!,Este é seu quadro de missões! Treine os profissionais solicitados para concluir a tarefa!,这是你的任务看板！训练所要求的专业选手以完成任务！,Burası senin görev panon. Görevi tamamlamak için ilgili profesyonelleri yetiştir!,これはクエストボードです！タスクを完了するために必要なプロを訓練しよう！,이곳은 퀘스트 게시판입니다! 요청한 프로 선수들을 훈련시키고 과제를 완료하세요!,هذا لوح المهمات! درب المحترفين المطلوبين لإكمال هذه المهمات!
sportClubTutorialSelectEquip,Select proper equipment to train a Professional,Выбери правильный тренажер для тренировки профессионала,Sélectionnez l'équipement approprié pour entraîner un professionnel,"Wähle das richtige Gerät aus, um einen Profi zu trainieren",Selecciona el equipo adecuado para entrenar a un profesional,Seleziona gli attrezzi appropriati per allenare un Professionista,Selecione o equipamento apropriado para treinar um Profissional,选择合适的器材来训练专业选手,Profesyonel yetiştirmek için uygun ekipmanı seç,プロを訓練するために適切な器具を選びましょう,적절한 장비를 선택해서 프로 선수들을 훈련시키세요.,اختر المعدات المناسبة لتدريب محترف
sportClubTutorialSelectExerciseOpenShop,You need to have a Sport Item to train a Professional. Let's visit the Shop,Тебе нужны Спортивные Предметы чтобы начать тренировку,Vous avez besoin d'avoir un objet de sport pour entraîner un professionnel Visitons la Boutique,"Du musst einen Sportgegenstand haben, um einen Profi zu trainieren. Besuchen wir den Shop",Necesitas un objeto deportivo para entrenar a un profesional. Vamos a la tienda,Hai bisogno di un Oggetto sportivo per allenare un Professionista. Visita il Negozio,Você precisa ter um Item esportivo para treinar um Profissional. Vamos visitar a Loja.,你需要一个运动用品来训练一名专业选手。我们去商店看看,Profesyonel yetiştirmek için bir Spor Aletine sahip olmalısın. Haydi dükkanı ziyaret edelim,プロを訓練するにはスポーツアイテムを持っている必要があります。ショップを訪ねてみよう,프로 선수를 훈련시키려면 스포츠 아이템일 필요합니다. 상점을 방문하세요.,عليك الحصول على عنصر رياضي لتدريب محترف. فلنقم بزيارة المتجر.
sportClubTutorialMarathonCyclerTraining,This Professional is going to become a Marathon Cyclist after the training,После окончания тренировки этот спортсмен станет <color=#0080B0FF>Веломарафонцем</color>,Ce professionnel va devenir un marathonien du cyclisme après l'entraînement,Dieser Profi wird nach dem Training ein Marathonfahrer,Este profesional se convertirá en un ciclista de maratón tras el entrenamiento,Questo Professionista diventerà un Ciclista maratoneta dopo l'allenamento,Este Profissional se tornará um Ciclista maratonista após o treinamento.,该专业选手将在训练后成为马拉松自行车手,Bu profesyonel çalışmasını tamamlayınca bir Maraton Bisikletçi olacak,このプロはトレーニング後、マラソンサイクリストになる予定です,이 프로 선수는 트레이닝 후에 마라톤 사이클리스트가 되려고 합니다.,سيصبح هذا المحترف دراج ماراثونات بعد التدريب
sportClubTutorialSkipMassage,It takes a while to train a true Professional,"Нужно немало времени для того, чтобы потренировать настоящего профи",Il faut du temps pour entraîner un véritable Professionnel,"Es dauert eine Weile, einen echten Profi zu trainieren",Convertirse en un profesional de verdad lleva cierto tiempo,È necessario del tempo per allenare un vero Professionista,Leva um tempo para treinar um verdadeiro Profissional,训练真正的专业选手需要一段时间,Gerçek bir profesyonel yetişrimek biraz zaman alır,真のプロを養成するには、時間がかかります,진정한 프로 선수를 훈련시키려면 시간이 꽤 걸립니다.,يتطلب الأمر وقتاً لتدريب محترف حقيقي
sportClubTutorialBoostForFree,But you can always boost his training to save some time,Но Ты всегда можете <color=#0080B0FF>Ускорить</color> тренировку,Mais vous pouvez toujours booster son entraînement pour gagner plus de temps,"Du kannst aber sein Training jederzeit boosten, um mehr Zeit zu sparen","Sin embargo, siempre puedes acelerar su entrenamiento para ahorrar algo de tiempo",Ma puoi sempre potenziare il suo allenamento per risparmiare tempo,Mas você sempre pode intensificar seu treinamento para economizar tempo.,但你可以随时加速他的训练以节约时间,Ama her zaman eğitimi hızlandırıp zamandan kazanabilirsin,しかし、トレーニングをブーストして時間を節約することもできます,하지만 훈련 속도를 끌어올려서 시간을 절약할 수도 있습니다.,ولكن يمكنك دوماً تعزيز تدريبه لتوفير بعض الوقت
sportClubTutorialEarnReward,You are ready to participate in the Event and earn your Reward,"Ты готов к тому, чтобы принять участие в Спортивном Мероприятии",Vous êtes prêt à participer à l'Événement et gagner votre récompense,"Du bist bereit, an dem Event teilzunehmen und dir deine Belohnung zu verdienen",Ya estás listo para participar en el evento y recibir tu recompensa,Sei pronto a partecipare all'evento e a ottenere la tua Ricompensa,Você está pronto para participar do Evento e ganhar sua Recompensa.,你已准备好参加赛事并获得奖励,Etkinliğe katılmaya ve Ödülünü almaya hazırsın,イベントに参加して報酬を得る準備ができています,이벤트에 참여해서 보상을 받을 준비가 되었습니다.,أنت جاهز للمشاركة في الفعالية وتحصيل جائزتك
sportClubTutorialFinishHeader,Well Done,Хорошо сработано,Bien joué,Gut gemacht,Bien hecho,Ben fatto,Muito bem,做得好,Güzel İş Çıkardın,よくやりましたね,잘했어요.,أحسنت
sportClubTutorialFinishText,You are ready to train the best professionals now,Теперь Ты готов к тренировке лучших профессионалов,Vous êtes prêt à entraîner les meilleurs professionnels,"Du bist jetzt bereit, die besten Profis zu trainieren",Ya estás listo para entrenar a los mejores profesionales,Ora sei pronto per allenare i migliori Professionisti,Agora você está pronto para treinar os melhores profissionais.,你现在已准备好训练最优秀的专业选手了,Artık en iyi profesyonelleri yetiştirmeye hazırsın,今すぐにでも、最高のプロを訓練できます,이제 최고의 프로 선수들을 훈련시킬 준비가 되었습니다.,أنت جاهز لتدريب أفضل المحترفين الآن.
sportAgenctTutorialShowMessage,Sport Agency is available now. You can transfer professionals here,Стало доступно \n<color=#0080B0FF>Спортивное Агентство</color>. Здесь Ты можещь заниматься трансфером Профессионалов.,L'Agence de sport est disponible. Vous pouvez transférer les professionnels ici,Die Sportagentur ist jetzt verfügbar. Hier kannst du Profis transferieren,La agencia de deportes ya está disponible. Aquí puedes transferir profesionales,Ora è disponibile l'Agenzia dello Sport. Puoi trasferire i Professionisti qui,A Agência de esportes está disponível agora. Você pode transferir profissionais aqui.,体育经纪公司现在可以使用了。你可以在这里转让专业选手,Artık Spor Ajansı kurabilirsin. Buradan profesyonelleri transfer edebilirsin,スポーツエージェンシーを利用できます。ここにプロを移籍させることができます,스포츠 에이전시를 이용할 수 있습니다. 이곳에서 프로 선수들을 이적시킬 수 있습니다.,الوكالة الرياضية متوفرة الآن. يمكنك نقل المحترفين هنا
friendVisitTutorialHeader,Hey Trainer!,Эй Тренер!,"Hé, entraîneur !","Hey, Trainer!","¡Eh, entrenador!","Ehi, allenatore!",Ei treinador!,嘿，教练！,Hey Antrenör!,こんにちわ、トレーナーさん！,안녕하세요!,أيها المدرب!
friendVisitTutorialDetails,I've just finished re-designing my own Gym! Check it out!,Я только закончила ремонт в своем Зале! Давай похвастаюсь!,Je viens de finir de refaire ma propre Salle de gym ! Découvrez-la !,"Ich bin gerade damit fertig geworden, mein eigenes Sportstudio umzustylen! Sieh es dir mal an!",¡Acabo de rediseñar mi propio gimnasio! ¡Ven a verlo!,Ho appena finito di ristrutturare la mia palestra! Vieni a vedere!,Eu acabei de terminar o novo projeto da minha própria academia! Confira!,我刚刚重新设计了我自己的健身房！来看看吧！,Kendi Spor Salonumu yeniden dizayn ettim! Bir göz at!,ちょうど自分のジムを再設計し終わりました！遊びに来てね！,제 헬스클럽의 실내 디자인을 바꿨어요! 와서 한 번 보세요!,أنهيت للتو إعادة تصميم ناديّ الرياضي. عليك تفقده!
skipLegExtension,"Don't make your Clients wait! Let's skip delivery. Don't worry, you will be <color=#34A826FF>Refunded</color>","Не заставляй клиентов ждать! Давай ускорим время доставки, не переживай, я <color=#34A826FF>компенсирую!</color> затраты!. ","Ne faites pas attendre vos clients ! Passons la livraison. Ne vous en faites pas, vous serez <color=#34A826FF>Remboursé</color>","Lass deine Kunden nicht warten! Überspringen wir die Lieferung. Keine Sorge, du erhältst den <color=#34A826FF>Geld zurück</color>","¡No hagas esperar a tus clientes! Vamos a saltarnos el envío. No te preocupes, <color=#34A826FF>te devolveremos</color> lo que gastes.","Non fare attendere i tuoi Clienti! Saltiamo la consegna. Non preoccuparti, sarai <color=#34A826FF>rimborsato</color>","Não deixe seus Clientes esperando! Vamos pular a entrega. Não se preocupe, você será <color=#34A826FF>Reembolsado</color>",不要让你的客户等待！咱们跳过交货吧。别担心，你会得到<color=#34A826FF>退款</color>的,"Müşterilerini bekletme! Teslimatı hızlandıralım. Merak etme, paran <color=#34A826FF>İade Edilecek</color>",クライアントを待たせないで！配達を飛ばしましょう。心配しないでください、<color=#34A826FF>返金</color=#34A826FF>されます,고객을 기다리게 하지 마세요! 배달을 건너뛰죠. 걱정 마세요. 돈은 <color=#34A826FF>환불</color>될 테니까요.,لا تجعل عملائك ينتظرون! فلنتخط التوصيل، ولا تقلق، سيتم <color=#34A826FF>إرجاع نقودك</color>
juiceBarOpenedHeader,Make it Juicy!,Добавьте сочности!,Make it Juicy!,Richtig saftig!,¡A por los zumos!,Un po' di dolcezza!,Faça-o suculento!,让它鲜美多汁！,Bol Meyve Özlü Olsun!,美味しいジュースを作ろう！,주스를 만들어요!,اجعل الأمر منعشاً!
juiceBarOpenedMessage,You can unlock Juice Bar to make healthy beverages for your clients!,"Ты можешь открыть Фреш Бар, и делать освежающие напитки для своих клиентов!",Vous pouvez débloquer le Bar à jus pour proposer des boissons saines à vos clients !,"Du kannst die Saftbar freischalten, um gesunde Getränke für deine Kunden anzubieten!",¡Puedes desbloquear el bar de zumos para preparar saludables bebidas a tus clientes!,Puoi sbloccare il Juice Bar per preparare bevande salutari per i tuoi clienti!,Você pode desbloquear o Bar de sucos para preparar bebidas saudáveis para seus clientes!,你可以解锁果汁吧，为你的客户提供健康的饮料！,Müşterilerine sağlıklı içecekler hazırlamak için İçecek Barını açabilirsin,ジュースバーをアンロックして、クライアントに健康的な飲み物を作ることができます！,주스 바를 열어서 고객들에게 건강에 좋은 음료수를 제공할 수 있습니다!,يمكنك فتح مقهى العصائر لصناعة العصائر الصحية لعملائك!
makeAppleJuiceMessage,Let's make our first Juice!\nHold your tap on the Apple Juice recipe,Давай сделаем фреш!\nУдерживай палец на рецепте Яблочного Фреша.,Réalisons notre premier jus !\nAppuyez longuement sur la recette de Jus de pomme,Machen wir unsereren ersten Saft!\nTippe das Apfelsaftrezept an und halte es gedrückt.,¡Vamos a preparar nuestro primer zumo!\nMantén pulsada la receta del zumo de manzana,Prepariamo la nostra prima bevanda!\nTieni premuto il recipiente del succo di mela,Vamos preparar o nosso primeiro suco!\nMantenha pressionada a receita do Suco de maçã,咱们来制作第一款果汁！\n点击苹果汁配方,İlk içeceğimizi yapalım!\nElma Suyu tarifine basılı tut,最初のジュースを作りましょう！\nりんごジュースのレシピをタップしてください,첫 번째 주스를 만드세요!\n사과주스 레시피를 누르고 있으세요.,فلنصنع عصيرنا الأول!\nاضغط باستمرار على وصفة عصير التفاح
dradToEmptySlotMessage,Now drag the recipe on to the empty slot to start making it.,"Теперь перетащи рецепт в пустой слот, чтоб начать производство.",Faites glisser la recette sur l'emplacement vide pour commencer à la réaliser.,"Ziehe das Rezept jetzt in den leeren Platz, damit du es herstellen kannst.","Ahora, arrastra la receta a la casilla vacía para empezar a prepararla.",Ora trascina il recipiente sullo slot vuoto per iniziare a prepararlo.,Agora arraste a receita para o espaço vazio para começar a prepará-la.,现在将配方拖到空栏位开始制作。,Şimdi tarifeyi boş slota taşıyarak içeceği yapmaya başla.,レシピを空のスロットにドラッグして、ジュースを作り始めます。,이제 빈 슬롯으로 레시피를 끌어봐서 만들기 시작하세요.,الآن اسحب الوصفة إلى الخانة الفارغة لصناعة العصير.
let'sSkipMessage,"It will take some time, but we can skip it for free this time.","Производство занимает какое-то время, но мы можем ускорить этот процесс бесплатно на этот раз.","Cela prendra un peu de temps, mais nous pouvons la passer gratuitement cette fois-ci.","Es wird etwas dauern, aber dieses Mal können wir es kostenlos beschleunigen.","Tardará un poco, pero esta vez podemos saltarnos el proceso gratis.","Ci vorrà un po' di tempo, ma puoi evitare l'attesa gratuitamente questa volta.","Levará algum tempo, mas podemos pulá-lo de graça desta vez.",这需要一些时间，但这次我们可以免费跳过。,"Biraz zaman alacaktır, ama bu seferlik bedavaya hızlandırabiliriz.",通常時間がかかりますが、今回は無料でスキップすることができます。,"시간이 조금 걸리지만, 이번에는 무료로 건너뛸 수 있어요.",يستغرق الأمر وقتاً، ولكن يمكننا تخطيه مجاناً لهذه المرة.
let'sFeastMessage,We have our first customer! Let's see what he would like to order.,"К вам пришел первый посетитель! Посмотрим, что он пожелает заказать.",Nous avons notre premier client ! Voyons ce qu'il souhaite commander.,"Wir haben unseren ersten Kunden! Mal sehen, was er bestellen möchte.",¡Aquí está nuestro primer cliente! Vamos a ver qué quiere.,Ecco il nostro primo cliente! Vediamo cosa desidera ordinare.,Temos o nosso primeiro cliente! Vamos ver o que ele gostaria de pedir.,我们有了第一个顾客！咱们来看看他想点什么。,İlk müşterimiz geldi! Bakalım ne sipariş edecek.,最初のお客さんが来ました！何を注文したいか聞いて見ましょう。,첫 번째 손님입니다! 손님이 뭘 주문할지 지켜보세요.,ها قد أتى زبوننا الأول! فلنرى ما الذي يرغب بطلبه.
dragJuiceMessage,Select customer and drag juice to the person.,Выбери посетителя и перетащи сок на него.,Sélectionnez le client et faites glisser le jus vers la personne.,Wähle den Kunden aus und ziehe den Saft zu ihm hin.,Selecciona el cliente y arrastra el zumo hasta él.,Seleziona il cliente e trascina la bevanda verso la persona.,Selecione o cliente e arraste o suco até a pessoa.,选择顾客并将果汁拖到人物上。,Müşteriyi seç ve içeceği ona sürükle,お客さんを洗濯して、ジュースをその人までドラッグします。,손님을 선택하고 손님 앞으로 주스를 드래그하세요.,اضغط العميل، واسحب العصير إلى الشخص.
let'sCollectApplesMessage,"While customer enjoys his drink, we can harvest some fresh fruits in the garden. Tap on the icon to collect fruits.","Пока посетитель наслаждается напитком, соберем свежие фрукты в саду. Нажми на иконку фруктов, чтоб собрать.","Tandis que le client apprécie sa boisson, nous pouvons récolter des fruits frais dans le jardin. Touchez l'icône pour collecter des fruits.","Während der Kunde sein Getränk genießt, können wir ein paar frische Früchte Garten ernten. Tippe das Symbol an, um die Früchte zu ernten.","Mientras el cliente disfruta de su bebida, podemos cosechar fruta fresca en el jardín. Toca el icono para recoger la fruta.","Mentre il cliente si gusta la sua bevanda, possiamo raccogliere un po' di frutta fresca nel giardino. Tocca l'icona per raccogliere la frutta.","Enquanto o cliente saboreia sua bebida, podemos colher algumas frutas frescas no jardim. Toque no ícone para colher frutas.",当顾客喝饮料时，我们可以在果园里收获新鲜水果。点击图标收集水果。,"Müşteri içeceğini içerken, biz de bahçeden biraz taze meyve toplayabiliriz. Bu ikona basarak meyve topla.",お客さんがジュースを飲んでいる間に、もっと果物を庭から収穫してくることができます。アイコンをタップして果物を収穫しましょう。,"손님이 음료수를 마시는 동안, 정원에서 신선한 과일을 수확할 수 있습니다. 아이콘을 탭해서 과일을 수확하세요.",بينما يستمتع العميل بعصيره، يمكننا أن نحصد بعد العصائر الطازجة في الحديقة. اضغط على الأيقونة لجمع الفواكه.
collectJuicerRewardMessage,"When person have finished with his drinks, tap on the coins to collect the reward.","Когда посетитель закончит с напитками, нажми на монетки, чтоб собрать свою награду.","Lorsque la personne a terminé ses boissons, touchez les pièces pour collecter la récompense.","Wenn der Kunde mit seinem Getränk fertig ist, kannst du die Münzen antippen, um die Belohnung einzusammeln.","Cuando el cliente se haya terminado la bebida, toca las monedas para recibir la recompensa.","Quando la persona ha finito la sua bevanda, tocca le monete per ritirare la ricompensa.","Quando a pessoa tiver acabado suas bebidas, toque nas moedas para coletar a recompensa.",当人物喝完饮料后，点击金币来收集奖励。,"Müşteri içeceklerini bitirdiğinde, paralara basarak ödülünü topla.",お客さんが飲み終えたら、コインをタップして報酬を集めましょう。,"손님이 음료수를 다 마시면, 코인을 탭해서 보상을 받으세요.",عندما ينهي الشخص عصائره، اضغط على العملات لجمع هذه الجائزة.
trainersUnlockMessage,It's time to get some Help!\nNow you can hire staff!,Пришло время обзавестить помощниками! Теперь Ты можете нанимать Персональных Тренеров,C'est le moment d'obtenir de l'aide !\nVous pouvez maintenant recruter du personnel !,"Es ist Zeit, sich Hilfe zu holen!\nJetzt kannst du Mitarbeiter anheuern!",¡Necesitas ayuda!\n¡Ahora puedes contratar personal!,È tempo di farsi dare una mano!\nOra puoi assumere nuovo staff!,É hora de buscar ajuda!\nAgora você pode contratar funcionários!,现在该请一些帮手了！\n现在你可以雇佣员工！,Biraz yardım alma zamanı geldi!\nArtık işe yeni elemanlar alabilirsin,助けが必要です！\nスタッフを雇うことができます！,도움을 받을 시간입니다!\n이제 직원을 고용할 수 있습니다!,حان وقت الحصول على بعض المساعدة!\nيمكنك استئجار أعضاء لطاقم العمل الآن!
trainersCtrlHere,"In this section you can manage your Staff, hire new Trainers or check their schedule",В этом разделе ты можешь управлять своим Тренерским составом,"Dans cette section vous pouvez gérer votre personnel, recruter de nouveaux Entraîneurs ou consulter leur agenda","In diesem Bereich kannst du deine Mitarbeiter verwalten, neue Trainer anheuern und dir ihre Zeitpläne ansehen","En esta sección, puedes gestionar el personal, contratar entrenadores o comprobar sus horarios de trabajo.","In questa sezione puoi gestire il tuo Staff, assumere nuovi Allenatori e controllare il loro programma","Nesta seção você pode gerenciar sua Equipe, contratar novos Treinadores ou consultar a agenda deles.",在此区域里，你可以管理员工、雇佣新教练或检查他们的时间表,"Bu kısımda Elemanlarını idare edebilir, işe yeni Antrenörler alabilir ya da Antrenörlerinin programlarına bakabilirsin",このセクションでは、スタッフを管理したり、新しいトレーナーを雇ったり、スケジュールを確認したりすることができます,"이곳에선 직원을 관리하거나, 새로운 트레이너를 고용하거나, 트레이너들의 일정을 확인할 수 있습니다.",في هذا القسم، يمكنك إدارة طاقم العمل، وتوظيف مدربين جدد، أو تفقد جدول أعمالهم.
resource_Sport_01_name,Bottle Of Water,Фляга с Водой,Bouteille d'eau,Wasserflasche,Botella de agua,Bottiglia d'acqua,Garrafa de água,瓶装水,Şişe Su,水のボトル,물병,عبوة مياه
resource_Sport_02_name,Cycling Helmet,Велосипедный Шлем,Casque de cyclisme,Radfahrhelm,Casco de ciclista,Casco da ciclista,Capacete de ciclismo,自行车头盔,Bisiklet Kaskı,サイクリングヘルメット,사이클링 헬멧,خوذة دراج
resource_Sport_03_name,Protective Jacket,Защитная Куртка,Veste de protection,Schutzjacke,Chaqueta protectora,Giacca protettiva,Jaqueta protetora,防护外套,Koruyucu Ceket,防護ジャケット,보호 자켓,سترة واقية
